Stations;Start Date;End Date;Group;Model Example (optional);CURRENCY;1 day fixed;2 days fixed;3 days fixed;4 days fixed;5 days fixed;6 days fixed;7 days fixed;8-10 daily;11-12 daily;13-14 daily;15-21 daily;22-28 daily
ABF;;;MDMV;Peugeot 108;EUR;;;;;;;;;;;;
ABF;;;MDMR;Fiat Panda;EUR;;;;;;;;;;;;
ABF;;;MCMV;Citroen C1;EUR;;;;;;;;;;;;
ABF;;;NDMR;Toyota Aygo;EUR;;;;;;;;;;;;
ABF;;;EDMV;Opel Corsa;EUR;;;;;;;;;;;;
ABF;;;HDMV;Ford Fiesta;EUR;;;;;;;;;;;;
ABF;;;MDAR;Kia Picanto;EUR;;;;;;;;;;;;
ABF;;;EDAV;Citroen C3/Opel Corsa;EUR;;;;;;;;;;;;
ABF;;;MDAV;Toyota Aygo;EUR;;;;;;;;;;;;
ABF;;;EDAR;Opel Corsa;EUR;;;;;;;;;;;;
ABF;;;CFMR;Seat Arona;EUR;;;;;;;;;;;;
ABF;;;DFMR;Kia Stonic;EUR;;;;;;;;;;;;
ABF;;;MTMR;Fiat 500 Cabrio;EUR;;;;;;;;;;;;
ABF;;;CFMV;Peugeot 2008;EUR;;;;;;;;;;;;
ABF;;;IWMR;Peugeot 308 SW;EUR;;;;;;;;;;;;
ABF;;;DFMV;Citroen C4;EUR;;;;;;;;;;;;
ABF;;;IWMV;Opel Astra STW;EUR;;;;;;;;;;;;
ABF;;;CFAR;Seat Arona;EUR;;;;;;;;;;;;
ABF;;;CGAR;Citroen C3 Aircross;EUR;;;;;;;;;;;;
ABF;;;CFAV;VW T-Cross;EUR;;;;;;;;;;;;
ABF;;;SVMR;Dacia Jogger SL Extreme;EUR;;;;;;;;;;;;
ABF;;;SVMD;Citroen Grand C4;EUR;;;;;;;;;;;;
ABF;;;SVAD;Citroen Grand C4 Automatic;EUR;;;;;;;;;;;;
ABF;;;SVMV;Peugeot Rifter;EUR;;;;;;;;;;;;
ABF;;;SVAR;Peugeot Rifter Automatic;EUR;;;;;;;;;;;;
ABF;;;LVMD;Fiat Talento;EUR;;;;;;;;;;;;
ABF;;;LVMR;Opel Vivaro;EUR;;;;;;;;;;;;
